application_package_id,company,role,role_id,role_code,role_family,status,date_applied,last_update,source,location,employment_type,resumes,cover_letters,normalized_jd_file,raw_jd_file,final_resume_file,application_package_path,notes
application-broadridge-product-analyst-2026-v1,Broadridge,Product Analyst,role-broadridge-product-analyst-2026,product-analyst,product,APPLIED,2026-06-13,2026-06-13,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,data/jds/normalized/jd-broadridge-product-analyst-2026-v1.md,data/jds/raw/jd-raw-broadridge-product-analyst.md,data/application-packages/application-broadridge-product-analyst-2026-v1/ats-resume.html,data/application-packages/application-broadridge-product-analyst-2026-v1,"Application submitted successfully.|2026-06-18: Recruiter Joshua Stalsworth requested follow-up screening details covering work authorization, availability, salary expectations, location preference, money movement exposure, SDLC/UAT experience, and financial-services stakeholder experience.|2026-06-18: Response sent confirming U.S. citizenship, availability, target compensation within posted range, location flexibility, financial-systems background, MRPrice/market-data modernization experience, and willingness to ramp on ACH/wires/cash-management workflows."
application-citi-ba-it-2026-v1,Citi,IT Business Senior Analyst,role-citi-ba-it-2026,ba-it,ba,APPLIED,2026-06-12,2026-06-12,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,data/jds/normalized/jd-citi-ba-it-2026-v1.md,data/jds/raw/jd-raw-citi-it-ba.md,data/application-packages/application-citi-ba-it-2026-v1/ats-resume.html,data/application-packages/application-citi-ba-it-2026-v1,Citi site could not parse uploaded PDF successfully.|Application form still opened with basic profile fields populated.|Resume was attached manually.|Application was submitted.|Future improvement: generate ATS-safe DOCX/plain-text resume in addition to HTML/PDF.|Resume generated from Career System v0.7.x pipeline.|Tailored for Citi IT Business Analyst role.
application-finbourne-technology-support-appsupport-2026-v1,Finbourne,Technology Support / Application Support,role-finbourne-technology-support-appsupport-2026,support-appsupport,support,POSITION_CLOSED,2026-06-13,2026-06-13,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,data/jds/normalized/jd-finbourne-technology-support-appsupport-2026-v1.md,data/jds/raw/jd-raw-finbourne-appsupport-api.md,,data/application-packages/application-finbourne-technology-support-appsupport-2026-v1,Position no longer available.
application-ice-senior-ba-2026-v1,ICE,Senior Business Analyst,role-ice-ba-2026,ba-market-data,ba,APPLIED,2026-06-15,2026-06-15,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,data/jds/normalized/jd-ice-ba-2026-v1.md,data/jds/raw/jd-raw-ice-ba.md,data/application-packages/application-ice-senior-ba-2026-v1/ats-resume.html,data/application-packages/application-ice-senior-ba-2026-v1,"Applied manually through ICE careers site.|Application required manual entry of employment history.|Only five professional experiences could be entered, limiting historical experience visibility.|Application submitted successfully."
application-lseg-senior-ba-2026-v1,LSEG,"Senior Business Analyst – Product Development, TradeAgent",role-lseg-sba-2026,sba,ba,APPLIED,2026-06-15,2026-06-15,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,data/jds/normalized/jd-lseg-sba-2026-v1.md,data/jds/raw/jd-raw-lseg-ba-product-development-tradeagent.md,data/application-packages/application-lseg-senior-ba-2026-v1/ats-resume.html,data/application-packages/application-lseg-senior-ba-2026-v1,Application submitted successfully.
application-new-york-life-technical-ba-2026-v1,New York Life,Technical Business Analyst,role-new-york-life-sba-2026,sba,ba,APPLIED,2026-06-15,2026-06-15,LinkedIn,,Full Time,ats-resume.html|full-resume.html,none,data/jds/normalized/jd-new-york-life-sba-2026-v1.md,data/jds/raw/jd-raw-new-york-life-senior-associate-technical-business-analyst.md,data/application-packages/application-new-york-life-technical-ba-2026-v1/ats-resume.html,data/application-packages/application-new-york-life-technical-ba-2026-v1,Application submitted successfully.
application-pico-sre-2026-v1,Pico,Site Reliability Engineer / SRE,role-pico-sre-2026,sre,sre,REJECTED,2026-04-21,2026-04-28,LinkedIn,,,ats-resume.html|full-resume.html,none,data/jds/normalized/jd-pico-sre-2026-v1.md,data/jds/raw/jd-raw-pico-sre.md,,data/application-packages/application-pico-sre-2026-v1,Application submitted previously.|Received rejection notification.
application-qode-ba-2026-v1,Qode,Product Senior Business Systems Analyst,role-qode-bsa-2026,bsa,bsa,APPLIED,2026-06-15,2026-06-15,LinkedIn,,Full Time,ats-resume.txt,none,data/jds/normalized/jd-qode-bsa-2026-v1.md,data/jds/raw/jd-raw-qode-ba.md,data/application-packages/application-qode-ba-2026-v1/ats-resume.txt,data/application-packages/application-qode-ba-2026-v1,Application submitted successfully.
application-shutterstock-ba-2026-v1,Shutterstock,Product Analyst,role-shutterstock-bsa-2026,bsa,bsa,APPLIED,2026-06-15,2026-06-15,LinkedIn,New York NY,Full Time,ats-resume.html|full-resume.html,none,data/jds/normalized/jd-shutterstock-bsa-2026-v1.md,data/jds/raw/jd-raw-shutterstock-ba.md,data/application-packages/application-shutterstock-ba-2026-v1/ats-resume.html,data/application-packages/application-shutterstock-ba-2026-v1,Application submitted successfully.|Application package generated by Career System v0.9.0.
application-the-depository-trust-and-clearing-corporation-dtcc-bsa-2026-v1,DTCC,Lead Business Systems Analyst,role-the-depository-trust-and-clearing-corporation-dtcc-bsa-2026,bsa,ba,POSITION_CLOSED,,2026-06-17,,,Full Time,ats-resume.html|full-resume.html,none,data/jds/normalized/jd-the-depository-trust-and-clearing-corporation-dtcc-bsa-2026-v1.md,data/jds/raw/jd-raw-dtcc-lead-bsa.md,,data/application-packages/application-the-depository-trust-and-clearing-corporation-dtcc-bsa-2026-v1,
application-upmc-systems-analyst-2026-v1,UPMC,Systems Analyst Senior,role-upmc-systems-analyst-2026,systems-analyst,systems-analyst,NOT_PURSUED,,2026-06-17,,,Contract,ats-resume.html|full-resume.html,none,data/jds/normalized/jd-upmc-systems-analyst-2026-v1.md,data/jds/raw/jd-raw-upmc-systems-analyst.md,data/application-packages/application-upmc-systems-analyst-2026-v1/ats-resume.html,data/application-packages/application-upmc-systems-analyst-2026-v1,
