company_name,location,role,url,excitement,source,resume_uuid,availability_status,min_salary,max_salary,salary_currency,salary_pay_period,added_at,application_deadline,applied_at,checked_availability_at,created_at,follow_up_at,posted_at,updated_at,archived_at,id,status,statusName
WATG and Wimberly Interiors,"New York, NY",Senior IT Support Specialist,https://www.linkedin.com/jobs/view/4415702912,0,ChromeExtension,,t,100000,115000,USD,year,2026-06-05T17:55:59Z,,,2026-06-05T17:55:59Z,2026-06-05T17:55:59Z,,,2026-06-05T18:03:53Z,,12893709-a37d-4305-bca6-413a1b1528f5,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Valon,"New York, NY",Product Operations Senior Associate,https://www.linkedin.com/jobs/view/4366528391,0,ChromeExtension,,t,106500,145500,USD,year,2026-06-08T14:00:43Z,,,2026-06-08T14:00:43Z,2026-06-08T14:00:43Z,,,2026-06-08T14:01:06Z,,1845de2c-5fbc-4401-9fbb-c54d72c30a9a,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Cursor,United States,Support Operations Systems Lead,https://www.linkedin.com/jobs/view/4419984022,0,ChromeExtension,,t,,,,,2026-05-29T14:17:42Z,,,2026-05-29T14:17:42Z,2026-05-29T14:17:42Z,,,2026-05-29T14:20:58Z,,18f17858-a963-4668-906b-eeae6ae1f4dc,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Grapevine Technologies Inc,"New York, NY",Sr. Operations Analyst,https://www.linkedin.com/jobs/view/4424786626,0,ChromeExtension,,t,90000,120000,USD,year,2026-06-08T15:00:31Z,,,2026-06-08T15:00:31Z,2026-06-08T15:00:31Z,,,2026-06-08T15:01:37Z,,1d7531ba-9ca1-4402-b5d1-88f3ee04a751,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Neuberger Berman,"New York, NY",Senior Business Analyst – Client Data Strategy,https://jobs.workable.com/view/17FuqV1qUJfYnU494zUhvR/senior-business-analyst-%E2%80%93-client-data-strategy-in-new-york-at-neuberger-berman,,WebClient,,,130000,150000,USD,year,2026-06-05T22:20:36Z,,,,2026-06-05T22:20:36Z,,2026-06-05T08:10:39Z,2026-06-05T23:09:12Z,,211b5fe4-6541-40df-be6a-4be1e69b45fe,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
VNS Health,"New York, NY",Enterprise Applications Analyst (Workday & Enterprise Systems),https://www.linkedin.com/jobs/view/4391198571,0,ChromeExtension,,t,93400,116800,USD,year,2026-06-01T20:26:24Z,,,2026-06-01T20:26:24Z,2026-06-01T20:26:24Z,,,2026-06-01T20:29:53Z,,246ec556-3d16-4453-84f7-c0fb13c5f142,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Michael Baker International,"United States,",Software Requirements Analyst (GIS),https://ebxs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_4004/job/309446,,WebClient,,,90000,120000,USD,year,2026-06-01T20:24:28Z,,,,2026-06-01T20:24:28Z,,2026-06-01T13:47:56Z,2026-06-01T20:42:38Z,,2d369e07-9a17-4b51-b870-8dc9278007a3,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Mercer Advisors,United States,Infrastructure Operations Specialist,https://www.linkedin.com/jobs/view/4409221261,0,ChromeExtension,,t,32,38,USD,hour,2026-05-29T14:20:15Z,,,2026-05-29T14:20:15Z,2026-05-29T14:20:15Z,,,2026-05-29T14:20:57Z,,2f0fafd8-4531-40f1-8e38-69f4341c0f1f,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Makai Labs,"New York, NY",Business Analyst,https://jobs.ashbyhq.com/makai-labs/e170b3c0-42c9-4bab-8afb-69c3b2f714b6,,WebClient,,,,,USD,year,2026-06-01T00:04:52Z,,,,2026-06-01T00:04:52Z,,2026-04-29T00:00:00Z,2026-06-01T00:05:04Z,,3386b09b-462b-4f7f-84eb-da9f2ff526b3,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
FINBOURNE Technology,"New York, NY",Senior Application Support Analyst,https://www.linkedin.com/jobs/view/4424076357,0,ChromeExtension,,t,,,,,2026-06-05T17:47:40Z,,,2026-06-05T17:47:40Z,2026-06-05T17:47:40Z,,,2026-06-05T18:25:36Z,,33d51735-b39a-49f2-a327-cbffca33dfc7,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Figma,United States,Business Operations,https://www.linkedin.com/jobs/view/4367522456,0,ChromeExtension,,t,140000,245000,USD,year,2026-04-06T14:20:29Z,,,2026-04-06T14:20:29Z,2026-04-06T14:20:29Z,,,2026-04-06T14:41:21Z,,466ab69c-e7cb-4314-9073-c8d16b2b5cb5,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Dow Jones,"New York, NY","AI Enablement Business Analyst, Senior",https://www.linkedin.com/jobs/view/4401534725,0,ChromeExtension,,t,75000,95000,USD,year,2026-06-08T14:51:28Z,,,2026-06-08T14:51:28Z,2026-06-08T14:51:28Z,,,2026-06-08T14:52:36Z,,4d1b5f53-8dce-4eb6-8d12-ddd5db29513e,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
InfoTrack US,"New York, NY",Technical Support Specialist,https://www.linkedin.com/jobs/view/4404481876,0,ChromeExtension,,t,70000,95000,USD,year,2026-06-05T17:54:36Z,,,2026-06-05T17:54:36Z,2026-06-05T17:54:36Z,,,2026-06-05T18:19:31Z,,585785be-9fff-4f3e-8a49-5d752a6f5e9b,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Pico,"New York City, NY",Site Reliability Engineer,https://job-boards.greenhouse.io/picoquantitativetrading/jobs/4664671006,0,ChromeExtension,,,115000,125000,USD,year,2026-04-07T13:56:44Z,,,,2026-04-07T13:56:44Z,,,2026-04-07T13:56:57Z,,6153036c-160b-4595-8937-fddd14d60c6f,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Amtex Systems Inc,"New York, NY",Business Analyst / Project Manager with financial benchmark data Experience,https://www.linkedin.com/jobs/view/4422953465,0,ChromeExtension,,t,,,,,2026-06-05T17:40:11Z,,,2026-06-05T17:40:11Z,2026-06-05T17:40:11Z,,,2026-06-05T17:57:25Z,,6d32cbbb-c967-4cd4-82c3-6134ef90efc8,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
NJ TRANSIT,"Newark, NJ",Principal Technical Business Analyst,https://www.linkedin.com/jobs/view/4418232754,0,ChromeExtension,,t,,,,,2026-06-03T17:28:09Z,,,2026-06-03T17:28:09Z,2026-06-03T17:28:09Z,,,2026-06-03T17:28:23Z,,6ff2a810-c11a-48a0-9ae3-b963d866aa58,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Con Edison,"New York, NY",Senior Technical Analyst,https://www.linkedin.com/jobs/view/4420209600,0,ChromeExtension,,t,,,,,2026-06-08T14:49:50Z,,,2026-06-08T14:49:50Z,2026-06-08T14:49:50Z,,,2026-06-08T14:50:03Z,,72c778ea-fc93-4f23-8906-7d87477830cb,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Tata Consultancy Services,,Business Analyst -Artificial Intelligence,https://www.indeed.com/viewjob?jk=54d8e21c3a56bc21,0,ChromeExtension,,,120000,412298,USD,year,2026-05-30T17:03:03Z,,,,2026-05-30T17:03:03Z,,,2026-05-30T17:03:17Z,,76ce596b-129f-407c-806b-e12c02177388,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Amtrak,"New York, NY",Lead Business Systems Analyst - Integrated Control Systems,https://www.linkedin.com/jobs/view/4401990587,0,ChromeExtension,,t,,,,,2026-06-08T14:23:47Z,,,2026-06-08T14:23:47Z,2026-06-08T14:23:47Z,,,2026-06-08T14:24:22Z,,7ef3d649-f692-4936-9c34-0a3f4db46205,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Atlas Search,New York City Metropolitan Area,Business Analyst,https://www.linkedin.com/jobs/view/4420113571,0,ChromeExtension,,t,,,,,2026-06-05T17:37:05Z,,,2026-06-05T17:37:05Z,2026-06-05T17:37:05Z,,,2026-06-05T17:58:29Z,,86e9b25b-becd-4787-8545-21493f98b102,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
ICF,"Portland, OR",IT Business Analyst,https://icf.wd5.myworkdayjobs.com/ICFExternal_Career_Site/job/Portland-OR/IT-Business-Analyst_R2601942,,WebClient,,,67355,114503,USD,year,2026-06-01T20:24:56Z,,,,2026-06-01T20:24:56Z,,2026-06-01T00:00:00Z,2026-06-01T20:40:19Z,,8eddd464-39a6-42a5-936b-bde02538d8ef,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Barclays,"Whippany, NJ",Application Support Analyst,https://www.linkedin.com/jobs/view/4419685476,0,ChromeExtension,,t,80000,120000,USD,year,2026-06-05T17:49:47Z,,,2026-06-05T17:49:47Z,2026-06-05T17:49:47Z,,,2026-06-05T18:24:10Z,,8f001f7e-12a8-41a6-8957-95e937491b2d,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Citi,"New York, NY",IT Business Senior Analyst,https://www.linkedin.com/jobs/view/4424092139,0,ChromeExtension,,t,,,,,2026-06-05T17:38:03Z,,,2026-06-05T17:38:03Z,2026-06-05T17:38:03Z,,,2026-06-05T17:57:16Z,,90e0b80b-24a9-4234-a707-8c7d1f4d50eb,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
New York Life,"New York, NY",Senior Associate - Technical Business Analyst,https://www.linkedin.com/jobs/view/4386921242,0,ChromeExtension,,t,100000,143000,USD,year,2026-06-08T14:22:26Z,,,2026-06-08T14:22:26Z,2026-06-08T14:22:26Z,,,2026-06-08T14:22:41Z,,982d9a5b-5b74-401b-b49d-425b467b8516,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
NBCUniversal,"New York, NY",Associate AI Solutions & Programs Lead,https://www.linkedin.com/jobs/view/4422458145,0,ChromeExtension,,t,90000,115000,USD,year,2026-06-08T14:55:33Z,,,2026-06-08T14:55:33Z,2026-06-08T14:55:33Z,,,2026-06-08T14:55:57Z,,a2fc30fe-f60f-41f5-a7bb-9d29bc6209ae,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Fixify,United States,Senior IT Operations Analyst,https://www.linkedin.com/jobs/view/4419876735,0,ChromeExtension,,t,,,,,2026-05-29T14:16:05Z,,,2026-05-29T14:16:05Z,2026-05-29T14:16:05Z,,,2026-05-29T14:16:20Z,,a4d9a97a-abf5-48b6-a1f6-f09bf8aa683b,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
AirOps,New York City Metropolitan Area,Technical Support Lead,https://www.linkedin.com/jobs/view/4364796179,0,ChromeExtension,,t,,,,,2026-06-05T17:53:23Z,,,2026-06-05T17:53:23Z,2026-06-05T17:53:23Z,,,2026-06-05T18:22:49Z,,a503f1fa-e252-46dd-b9ce-3f77ecc4ef82,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Citi,"New York, NY","Application and Production Support Lead, Assistant Vice President",https://www.linkedin.com/jobs/view/4386883718,0,WebClient,,t,109120,163680,USD,year,2026-04-01T17:40:08Z,,2026-04-01T18:02:16Z,2026-04-01T17:40:08Z,2026-04-01T17:40:08Z,,,2026-04-01T18:02:16Z,,b0b86130-ff36-48e0-a57f-e05155df9169,"{""name"":""applied"",""archived_at"":"""",""id"":""5689f93d-a084-489c-9a6a-7d74b155b49a""}",applied
Neuberger,"New York, NY",Senior Program Manager / Business Analyst (Asset Management),https://www.linkedin.com/jobs/view/4397663312,0,ChromeExtension,,t,150000,170000,USD,year,2026-05-24T14:05:48Z,,,2026-05-24T14:05:48Z,2026-05-24T14:05:48Z,,,2026-05-31T20:27:45Z,,bbac7ef5-6085-4804-9401-9c21ccba2382,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Atlas Search,"Greenwich, CT",Business System Analyst,https://www.linkedin.com/jobs/view/4414347246,0,ChromeExtension,,t,,,,,2026-05-29T14:25:38Z,,,2026-05-29T14:25:38Z,2026-05-29T14:25:38Z,,,2026-05-29T15:22:40Z,,d1b61554-41bb-41fa-9627-a27d8fdc8d46,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Genesis10,"New York, NY","Senior Systems Specialist, Business Development Platforms - Hybrid",https://www.monster.com/job-openings/senior-systems-specialist-business-development-platforms-hybrid-new-york-ny--6888f6a0-794d-4f1b-b266-4d38e9e7c163?sid=30ed0246-4174-4e58-a7dd-242bb1ad27ff&jvo=m.mco.s-svr.12&so=m.h.s&hidesmr=1,0,ChromeExtension,,,140000,160000,USD,year,2026-05-30T17:22:26Z,,,,2026-05-30T17:22:26Z,,,2026-05-30T17:22:40Z,,d2525542-eb53-49cc-9e7e-3bde749886b1,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Pelham Berkeley Search,"New York, NY",Sr Systems Analyst,https://www.linkedin.com/jobs/view/4404903044,0,ChromeExtension,,t,,,,,2026-05-29T14:23:13Z,,,2026-05-29T14:23:13Z,2026-05-29T14:23:13Z,,,2026-05-29T14:23:20Z,,d3cad636-0516-4ea6-a39a-6241238a747a,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Deloitte,"New York, NY",Unqork Business Analyst,https://www.linkedin.com/jobs/view/4420402810,0,ChromeExtension,,t,116200,229100,USD,year,2026-05-29T13:10:42Z,,,2026-05-29T13:10:42Z,2026-05-29T13:10:42Z,,,2026-05-29T13:10:53Z,,d5676099-cab7-4441-8f76-2b4f58866154,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
"PMO Partners, LLC","Jericho, NY",Business Analyst,https://www.linkedin.com/jobs/view/4405105409,0,ChromeExtension,,t,,,,,2026-05-29T14:27:01Z,,,2026-05-29T14:27:01Z,2026-05-29T14:27:01Z,,,2026-05-29T14:32:30Z,,efb2952d-4298-4f16-8858-6f94ec5443ab,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Blee,"New York, NY",Business Operations Analyst,https://www.linkedin.com/jobs/view/4418188199,0,ChromeExtension,,t,,,,,2026-05-24T14:03:23Z,,,2026-05-24T14:03:23Z,2026-05-24T14:03:23Z,,,2026-05-24T14:04:37Z,,efe8e5cc-9de0-4dd0-9683-0c8db3b122e2,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Premera Blue Cross,"WA Western Telecommuter, WA",Business Analyst III,https://premera.wd5.myworkdayjobs.com/Premera/job/Telecommuter/Business-Analyst-III_R28844,,WebClient,,,80200,143100,USD,year,2026-06-08T14:11:27Z,,,,2026-06-08T14:11:27Z,,2026-06-06T00:00:00Z,2026-06-08T14:15:28Z,,f2e6b9cb-a5d9-4062-a8b8-3fe3bbfa2f65,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Incedo Inc.,"New York, NY",Senior Business Systems Analyst,https://www.linkedin.com/jobs/view/4418434182,0,ChromeExtension,,t,,,,,2026-06-03T17:28:59Z,,,2026-06-03T17:28:59Z,2026-06-03T17:28:59Z,,,2026-06-03T17:29:09Z,,f4916476-8cad-494c-ba2d-550e207b530c,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
The Depository Trust & Clearing Corporation (DTCC),"Jersey City, NJ",Lead Business Systems Analyst,https://www.linkedin.com/jobs/view/4343464713,0,ChromeExtension,,t,,,,,2026-05-29T14:24:32Z,,,2026-05-29T14:24:32Z,2026-05-29T14:24:32Z,,,2026-06-01T17:05:21Z,,f50c24ee-85bb-49d8-8df1-88e467c8a390,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Payabli,United States,Operational Specialist,https://www.linkedin.com/jobs/view/4423086569,0,ChromeExtension,,t,,,,,2026-06-05T17:34:31Z,,,2026-06-05T17:34:31Z,2026-06-05T17:34:31Z,,,2026-06-05T17:35:25Z,,fad82554-7f8f-4a79-8ffb-05e69fb43cd2,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked
Fox Television Stations,United States,"Support Specialist, Operations & Support",https://www.linkedin.com/jobs/view/4402658366,0,ChromeExtension,,t,83300,91600,USD,year,2026-05-29T14:12:03Z,,,2026-05-29T14:12:03Z,2026-05-29T14:12:03Z,,,2026-05-29T14:21:02Z,,fba47af6-c9f0-4588-8654-b0c6d45cbc03,"{""name"":""bookmarked"",""archived_at"":"""",""id"":""f89e69f7-f859-4863-b63e-36c247bac3d5""}",bookmarked